clause_id,file_name,paragraph_index,agreement_type,clause_type,matched_keywords,match_count,match_score,confidence,char_len,token_count,clause_text
a4e72c5c-8988-4fca-8eb1-cdd272fe236e,rental_commercial_001.txt,3,employment,obligations,shall,1,0.125,low,283,44,"[.], aged [.] residing at [.], (herein after referred to as the “LESSOR”), which terms or expression shall unless repugnant to the subject or context mean and include his legal heirs, executors, successors, administrators, legal representatives and assigns of the FIRST PART; AND Mr."
f271d30b-8e08-47b8-b824-5112c44540f0,rental_commercial_001.txt,5,employment,obligations,shall,1,0.125,low,275,41,"[.], aged [.] residing at [.], (hereinafter referred to as the “LESSEE”), which terms or expression shall unless repugnant to the subject or context mean and include his legal heirs, executors, successors, administrators, legal representatives and assigns of the SECOND PART."
2fd4b6af-a1b6-49d2-83ff-6635e6ac39dd,rental_commercial_001.txt,12,employment,obligations,shall,1,0.125,low,104,20,The Term of Lease shall be for a fixed period of 11 Months which shall commence from the effective date.
86538cd5-e754-462c-8a98-b36abfe02c5e,rental_commercial_001.txt,17,rental,security_deposit,security deposit,1,0.2,low,61,11,The security deposit for the demised premises is fixed as Rs.
3e33b88e-c2b8-451c-8f96-e87b1bc5912b,rental_commercial_001.txt,18,employment,termination,termination,1,0.09090909090909091,low,95,14,"[.](Rupees [.] only) which is repayable at the termination of this agreement, without interest."
6873da5d-49d1-4632-9e70-585b96ff2d63,rental_commercial_001.txt,20,employment,obligations,shall,1,0.125,low,95,17,The Lease amount shall be calculated from the [.]of every month to [.] of the subsequent month.
395cd91f-1922-4753-a666-89a5f41fdc8d,rental_commercial_001.txt,20,rental,rent_terms,lease amount,1,0.16666666666666666,low,95,17,The Lease amount shall be calculated from the [.]of every month to [.] of the subsequent month.
93e04e2e-83d6-453c-8083-42ee577bd2fe,rental_commercial_001.txt,22,employment,obligations,shall,1,0.125,low,234,39,"This Lease agreement shall be according to English calendar month, and the Tenant shall pay the above said Lease amount for every month in advance on or before the [.] of every month through CASH/CHEQUE/ECS/BANK TRANSFER to the Owner."
1e2c031d-d66a-4821-8b43-a1b17d85a235,rental_commercial_001.txt,22,rental,rent_terms,lease amount,1,0.16666666666666666,low,234,39,"This Lease agreement shall be according to English calendar month, and the Tenant shall pay the above said Lease amount for every month in advance on or before the [.] of every month through CASH/CHEQUE/ECS/BANK TRANSFER to the Owner."
ca286c18-cb28-430d-ac36-84798be37824,rental_commercial_001.txt,25,employment,termination,terminate,1,0.09090909090909091,low,287,49,And the Lessee hereby declares that the premises in question shall only be used for the purposes of business of the company and agrees that any other use of the property not authorized in advance in writing by the Lessor shall entitle the Lessor to unilaterally terminate this Agreement.
5655f56b-b0bf-4fde-9361-5460c4a02e76,rental_commercial_001.txt,25,employment,obligations,shall,1,0.125,low,287,49,And the Lessee hereby declares that the premises in question shall only be used for the purposes of business of the company and agrees that any other use of the property not authorized in advance in writing by the Lessor shall entitle the Lessor to unilaterally terminate this Agreement.
d5dd8129-4d19-4d96-9537-38734476a539,rental_commercial_001.txt,27,rental,rent_terms,lease amount,1,0.16666666666666666,low,171,33,"LATE CHARGES AND FAILED CHEQUES If Lease amount is paid after the fifth day of the month, then the Lease amount will be paid along with late charges of [.] per each month."
