clause_id,file_name,paragraph_index,agreement_type,clause_type,matched_keywords,match_count,match_score,confidence,char_len,token_count,clause_text
a14addd7-e845-4a81-b883-dc026bf565d6,emp_35.txt,101,service,force_majeure,,0,0.0,low,58,9,___/- from which expenses towards meals would be deducted.
7efa5e0b-9d5f-4ce3-a15c-65f20c6e892c,emp_35.txt,83,service,force_majeure,,0,0.0,low,109,19,We welcome you to the <company name> family and trust we will have a long and mutually rewarding association.
633aef29-01c8-4704-8657-b8d18ca1ca24,emp_35.txt,81,rental,rent_terms,,0,0.0,low,215,33,"The above terms and conditions are based on Company Policy, Procedures and other Rules and Regulations currently applicable to the Company’s employees and are subject to amendments and adjustments from time to time."
ee0a79ad-9e7d-4aeb-9a51-a689de7c8dd6,emp_35.txt,131,service,force_majeure,,0,0.0,low,120,21,We look forward to your valuable contributions and wish you all the very best for a rewarding career with <Company Name>
78a64ee4-bcc4-42e9-a89b-66afd2281a3b,emp_35.txt,115,employment,confidentiality,,0,0.0,low,33,4,Confidentiality of Information 1.
510a8386-b6c3-4b3d-8da5-799e1fd04b7e,emp_034.txt,11,service,force_majeure,,0,0.0,low,36,7,We look forward to working with you.
7c8d7cbf-4858-440e-acd4-a981ffe68543,emp_026.txt,20,employment,confidentiality,,0,0.0,low,163,22,This employment offer is subject to your successful completion of a pre-employment background check and your agreement to sign standard confidentiality agreements.
b8b3253f-fb72-40bc-834f-9eee74bd32e7,emp_027.txt,14,service,warranties,,0,0.0,low,194,31,"Please note that we are not your recruiting or legal advisor, we are not responsible for the content of your job descriptions, and none of the information provided herein guarantees performance."
3a1961cd-4f97-4c55-a657-d515882a7fcd,emp_028.txt,1,rental,rent_terms,,0,0.0,low,141,21,"Dear [employee's first name], We are pleased to extend your current employment status from part-time to full-time employee at [company name]."
ec341272-1612-4f1e-afbb-1c5e72ba4e25,emp_029.txt,14,service,warranties,,0,0.0,low,194,31,"Please note that we are not your recruiting or legal advisor, we are not responsible for the content of your job descriptions, and none of the information provided herein guarantees performance."
770a6a8a-8afd-4c1e-b356-38ecce6901ea,emp_030.txt,6,service,force_majeure,,0,0.0,low,206,31,"Please note, a probation period does not affect any entitlements employees receive under the National Employment Standards or a modern award, such as annual leave, personal leave, and notice of termination."
2e1732d0-d113-45b3-86c0-f939ab49e04d,emp_030.txt,7,rental,rent_terms,,0,0.0,low,105,15,The probation period may be different to the minimum employment period for unfair dismissal applications.
f8e1bf49-de8e-4ceb-9c74-b4ea66fd5d43,emp_030.txt,12,service,force_majeure,,0,0.0,low,83,12,an award or an enterprise agreement) contains any compulsory rules about probation.
b522f2f9-9a96-49bd-a02f-14b37ea5a183,emp_003.txt,30,service,force_majeure,,0,0.0,low,78,13,We look forward to working together to build a successful business and career.
6e63897c-542d-48e5-a98d-6810fa74fbe1,emp_003.txt,31,service,force_majeure,,0,0.0,low,59,8,"Your sincerely, Dipak Tewary (CEO) Reddensoft Infotech Pvt."
31d21c97-e6c7-4f3e-9fde-be36f4842b68,emp_004.txt,11,employment,termination,,0,0.0,low,212,37,"During the period of probation, your employment may be terminated by the Company without notice or with notice required by law as then in effect, whichever is greater, or payment of base salary in lieu of notice."
5e73ab65-9a03-414a-b9c3-373c3a05c5c0,emp_006.txt,8,rental,rent_terms,,0,0.0,low,168,25,"Medical Insurance All employees, their spouse, and up to two dependent children and dependent parents will be enrolled under the Company group medical insurance scheme."
a29929cd-df81-411d-a59d-24048ce34b5c,emp_006.txt,9,rental,rent_terms,,0,0.0,low,85,14,"Under current policy, employee and dependents are covered up to INR 500,000 per year."
26ae4f54-5fe9-4e4f-8285-b1b03bf995a8,emp_007.txt,59,service,force_majeure,,0,0.0,low,58,8,would warrant strong disciplinary action from the company.
f42b2161-033f-4556-bab7-980312603265,emp_007.txt,65,service,force_majeure,,0,0.0,low,104,17,"We are looking fonward to your joining us for a long, successful and a mutually beneficial organization."
9b7cdc4b-fa0e-43c9-802e-ac455fc20fd0,emp_007.txt,78,service,force_majeure,,0,0.0,low,276,45,"We look forward to having a long and fruitful relationship with you at WILP, Wish you all the best! Yours sincerely, For Wipro Limited, Aparna Shailen General Manager - Human Resources Endorsement I accept the enrolment and the terms and conditions thereof as specified below."
3589dc9f-8aca-41c9-95aa-0d28fabcad27,emp_007.txt,102,service,force_majeure,,0,0.0,low,100,15,"In addition to the above, you are also eligible for medical insurance cover towards hospitalization."
097fa91b-1bda-47a5-91e0-0de73a63a040,emp_007.txt,103,service,force_majeure,,0,0.0,low,127,21,"You are eligible for a floater coverage of Rs 2, 00,000 per annum for family (self, spouse & children) towards hospitalization."
63b0ed9b-78d2-4299-9b85-3eae5f355a57,emp_007.txt,104,service,force_majeure,,0,0.0,low,139,20,There will be a deduction from your monthly scholarshipstipend depending on your maritalfamily status towards the base sum insured premium.
4b795c0e-95d6-45f1-8f1e-4c50c936bfe7,emp_007.txt,135,rental,maintenance,,0,0.0,low,99,15,This is offered by Wipro’s - Talent Transformation Department to all campus and off-campus selects.
7faf76c9-bf4a-4e49-9322-f19ae93d6c63,emp_007.txt,141,service,force_majeure,,0,0.0,low,237,29,"Course specialization includes but is not limited to Software Systems, Software Engineering, Information Technology, Computing Systems and Infrastructure Management, Data Analytics, IoT, Cloud, Digital & Cyber security, Embedded Systems."
fec06283-7b74-4b96-bd03-7b7ef2b34406,emp_006.txt,15,rental,maintenance,,0,0.0,low,517,68,"__________________________________ __________________________________ Employee Signature Date ___________________________________ Employee Name Prafull Kumar Singh TEKION Welcome to Wipro | Virtual Onboarding Day – 3rd November 2021 1 message <manager.campus@wipro.com> Thu, Oct 28, 2021 at 12:08 To: Arindam.ohs@gmail.com Welcome to Wipro | Virtual Onboarding Day – 3rd November 2021 Dear ARINDAM HALDER GUPTA Resume Number - 20825986, Greetings from Wipro! We hope you and your loved ones are staying safe and well."
03780d10-7556-4e3b-8f2f-f3aafb7543e5,emp_006.txt,20,rental,rent_terms,,0,0.0,low,311,44,"Joining Link for Virtual Onboarding - https://wiprocon.webex.com/meet/alen.koshy Virtual Onboarding Date Time Contact Person 3rd November 2021 9:00:00 AM Arun|John|Alen *Kindly note, § In case you do not have any of the mandatory documents currently, please submit the documents within 90 days of joining Wipro."
e02b7e5c-b970-4bdb-9abd-f17666634f47,emp_006.txt,21,employment,leave_policy,,0,0.0,low,143,28,"§ If you have not yet written your final semester exam, Wipro will provide you 2 weeks of paid leaves which you can avail during the exam time."
7d9fe9f0-c87d-4f07-aab3-a3abd25709fa,emp_006.txt,34,rental,maintenance,,0,0.0,low,260,46,"However, in case you do not want to join as per the scheduled date due to some reason and would like to seek postponement for your joining in Wipro, please drop an e-mail stating the reason for not joining as per the scheduled date to manager.campus@wipro.com."
de80bb70-a3c5-47ea-9d87-0d14e1eb560e,emp_006.txt,39,rental,maintenance,,0,0.0,low,130,19,"For any further clarification, you may also reach manager.campus@wipro.com wherein you will be responded to within 2 working days."
38e619e3-1656-46d5-a3d1-b74da31650d3,emp_006.txt,41,rental,maintenance,,0,0.0,low,238,36,"We look forward to onboard you soon! Regards, Global Campus Hiring Team Wipro Limited Wipro is taking steps to prevent fraudulent agencies from issuing fake offers letters by introducing digitally signed offer letters for campus recruits."
75b869fc-6342-41ca-9ef4-9ba1a67ae0dc,emp_006.txt,41,service,force_majeure,,0,0.0,low,238,36,"We look forward to onboard you soon! Regards, Global Campus Hiring Team Wipro Limited Wipro is taking steps to prevent fraudulent agencies from issuing fake offers letters by introducing digitally signed offer letters for campus recruits."
4878f726-51d7-4804-b906-af04f3bf9c20,emp_006.txt,43,rental,maintenance,,0,0.0,low,159,27,The Wipro Technical campus offer letters can only be downloaded by the respective candidates through the Wipro portal and will not be sent by courier or email.
093f7440-2800-4621-9f06-7abc25886edf,emp_006.txt,49,service,force_majeure,,0,0.0,low,55,8,WARNING: Computer viruses can be transmitted via email.
8fa51a8f-cdfd-4f6c-b4b3-7e482ae6631e,emp_007.txt,2,service,force_majeure,,0,0.0,low,128,25,"Your experience and vision will be a great asset to this group, and I know that the team is looking forward to working with you."
7cc492e8-0d9e-4e4a-83d1-c4d69155ece1,emp_007.txt,23,employment,termination,,0,0.0,low,155,26,Upon confirmation your services are liable to be terminated by the company after providing you one month notice or payment of basic salary in lieu thereof.
4bd84064-f6af-41ce-9d72-d4a3d18243b1,emp_004.txt,31,service,service_levels,,0,0.0,low,154,26,The payment of your bonus is subject to such statutory deductions as may be required in accordance with applicable legislation in force from time to time.
018da200-4c31-47ac-b6b0-d7b7be4ebf03,emp_022.txt,1,service,force_majeure,,0,0.0,low,153,25,"Dear [Staff member name] Probationary Period extension As you are aware from our recent meeting, your probationary period is due to end on [insert date]."
c444b042-6c6d-4c28-93f2-ad6360a512a6,emp_023.txt,4,service,force_majeure,,0,0.0,low,140,25,"We believe that your skills and experience make you an excellent fit for our organization, and we look forward to welcoming you to our team."
ada065d8-3ca2-4465-97f9-55935f91fab3,emp_023.txt,12,employment,confidentiality,,0,0.0,low,228,33,"Please note that your employment with [Company Name] is contingent upon your compliance with all applicable laws, regulations, and company policies, including but not limited to our Code of Conduct and Confidentiality Agreement."
eeff1305-6b47-40be-9952-9901449c793b,emp_023.txt,13,service,force_majeure,,0,0.0,low,82,15,We are excited about the next steps together and look forward to working with you.
562e063a-7598-461a-8c7b-2d9ad1549979,emp_024.txt,4,service,force_majeure,,0,0.0,low,45,9,We look forward to welcoming you to our team.
da2c983c-c0de-456f-990a-4c3590a7505f,emp_024.txt,11,employment,confidentiality,,0,0.0,low,228,33,"Please note that your employment with [Company Name] is contingent upon your compliance with all applicable laws, regulations, and company policies, including but not limited to our Code of Conduct and Confidentiality Agreement."
dac6c71e-a404-4071-a0c4-8a9162985da1,emp_024.txt,13,service,force_majeure,,0,0.0,low,36,7,We look forward to working with you.
6a860ba4-81bb-4867-a414-e4939f2fba26,emp_025.txt,4,service,force_majeure,,0,0.0,low,45,9,We look forward to welcoming you to our team.
e1010203-fb4c-4f37-924d-899f85669edc,emp_025.txt,11,employment,confidentiality,,0,0.0,low,228,33,"Please note that your employment with [Company Name] is contingent upon your compliance with all applicable laws, regulations, and company policies, including but not limited to our Code of Conduct and Confidentiality Agreement."
390c01e8-176f-4481-bb85-a49758cacf7b,emp_025.txt,13,service,force_majeure,,0,0.0,low,36,7,We look forward to working with you.
3d15b124-fdbd-4c62-b85b-9e1caf537e6f,emp_026.txt,8,service,force_majeure,,0,0.0,low,150,27,"We are confident that you will find this offer exciting and I, on behalf of [company name], assure you of a very rewarding career in our organization."
94c7b3e8-1e6f-4f33-857b-1967bf061aef,emp_004.txt,53,employment,leave_policy,,0,0.0,low,357,59,"b You agree to work on any days including weekends and holidays to fulfill the hours set out in DocuSign Envelope ID: 7EB94388-BEB0-4811-84F8-14A212A371F0 GOC Confidential • 5 your roster, as well as work outside your normal working hours or shift roster if requested by the Company and you acknowledge that this is reasonable given the nature of your role."
a4b11eaa-799c-4146-8da4-a7072b3201ad,emp_004.txt,55,employment,leave_policy,,0,0.0,low,274,44,"You will also receive any applicable premiums or additional pay as required under local law in respect of work performed by you on statutory holidays, provided that such additional work was expressly requested or approved in advance by your supervisor or manager in writing."
683e4b21-bcbc-4f11-bb36-d2e857f2ad21,emp_004.txt,60,employment,termination,,0,0.0,low,355,58,"b Your employment may be terminated by the Company without notice or payment in lieu of notice if you commit any serious or persistent breach or non-observance of the terms, conditions or stipulations contained in this Agreement, or are guilty of any serious negligence or misconduct in connection with or affecting the business or affairs of the Company."
